Rank,Coin Name,Symbol,Price,1h,24h,7d,30d,24h Volume,Circulating Supply,Total Supply,Market Cap,price,1h_pct,24h_pct,7d_pct,30d_pct,volume,market_cap,supply,is_stablecoin,cap_tier,vol_mcap_ratio,is_high_liq_flag,is_return_outlier
498,UFO Gaming,UFO, $-   ,-0.50%,1.80%,14.10%,90.00%,"$1,602,977.00 ","25,757,575,757,575",25.8 Trillion,"$45,498,418.00 ",,-0.5,1.8,14.1,90.0,1602977.0,45498418.0,25757575757575.0,False,Small,0.03523148870802497,False,False
499,Real USD,USDR,0.53,0.10%,-0.20%,0.20%,-7.20%,"$33,047.00 ","45,207,233",45.2 Million,"$55,872,358.00 ",0.53,0.1,-0.2,0.2,-7.2,33047.0,55872358.0,45207233.0,False,Small,0.0005914731574421828,False,False
500,World$tateCoin,W$C,0.05,3.30%,0.70%,-1.10%,-20.80%,"$179,973.00 ","927,499,686",995 Million,"$44,914,089.00 ",0.05,3.3,0.7,-1.1,-20.8,179973.0,44914089.0,927499686.0,False,Small,0.004007049992709415,False,False
501,sUSD,SUSD,0.99,0.20%,-0.90%,-0.50%,-0.50%,"$7,082,886.00 ","45,226,902",45.2 Million,"$44,900,884.00 ",0.99,0.2,-0.9,-0.5,-0.5,7082886.0,44900884.0,45226902.0,False,Small,0.15774491210462582,False,False
502,Dopex Rebate,RDPX,33.30,1.00%,8.80%,7.90%,21.70%,"$105,554.00 ","1,346,594",2.1 Million,"$44,800,644.00 ",33.3,1.0,8.8,7.9,21.7,105554.0,44800644.0,1346594.0,False,Small,0.0023560822027469067,False,False
503,Kin,KIN, $-   ,-0.10%,-5.50%,13.50%,38.20%,"$308,955.00 ","2,935,736,173,367",2.94 Trillion,"$44,739,462.00 ",,-0.1,-5.5,13.5,38.2,308955.0,44739462.0,2935736173367.0,False,Small,0.00690564853014996,False,False
504,KILT Protocol,KILT,0.34,0.20%,1.60%,-20.20%,45.40%,"$109,943.00 ","129,683,121",161 Million,"$44,574,099.00 ",0.34,0.2,1.6,-20.2,45.4,109943.0,44574099.0,129683121.0,False,Small,0.002466522093918264,False,False
505,Unibot,UNIBOT,44.17,0.10%,-4.80%,-12.30%,-31.00%,"$12,754,233.00 ","1,000,000",1 Million,"$44,185,440.00 ",44.17,0.1,-4.8,-12.3,-31.0,12754233.0,44185440.0,1000000.0,False,Small,0.28865239318653385,False,False
506,Bficoin,BFIC,23.20,0.60%,12.40%,62.30%,49.30%,"$607,498.00 ","1,889,774",21 Million,"$43,841,140.00 ",23.2,0.6,12.4,62.3,49.3,607498.0,43841140.0,1889774.0,False,Small,0.013856802081332739,False,False
507,Evmos,EVMOS,0.08,0.10%,-3.30%,-4.00%,43.60%,"$1,061,067.00 ","576,076,249",1 Billion,"$43,655,472.00 ",0.08,0.1,-3.3,-4.0,43.6,1061067.0,43655472.0,576076249.0,False,Small,0.024305475382330077,False,False
508,Sologenic,SOLO,0.11,0.00%,-1.50%,-6.20%,-0.50%,"$2,258,296.00 ","399,198,717",399 Million,"$43,488,325.00 ",0.11,0.0,-1.5,-6.2,-0.5,2258296.0,43488325.0,399198717.0,False,Small,0.051928787783847734,False,False
509,LooksRare,LOOKS,0.08,4.60%,9.80%,1.00%,33.80%,"$3,599,691.00 ","544,846,570",997 Million,"$43,400,928.00 ",0.08,4.6,9.8,1.0,33.8,3599691.0,43400928.0,544846570.0,False,Small,0.08294041546761396,False,False
510,Axion,AXN, $-   ,0.00%,-0.60%,-12.20%,50.00%,$218.00 ,0,-,"$23,677,349.00 ",,0.0,-0.6,-12.2,50.0,218.0,23677349.0,0.0,False,Small,9.2071118265816e-06,False,False
511,MUX Protocol,MCB,11.40,-0.40%,0.10%,4.90%,12.20%,"$199,498.00 ","3,803,143",4.8 Million,"$43,353,326.00 ",11.4,-0.4,0.1,4.9,12.2,199498.0,43353326.0,3803143.0,False,Small,0.004601676927855547,False,False
